SNo 	Stn Code 	Stn Name 	Route No. 	Arrival Time 	Dep. Time 	Halt Time (In Minutes) 	Distance 	Day 	Remark
1 	SBC 	BANGALORE CY JN 	1 	Source 	17:15 		0 	1
2 	BNC 	BANGALORE CANT 	1 	17:25 	17:30 	5:00 	5 	1
3 	KJM 	KRISHNARAJAPURM 	1 	17:40 	17:42 	2:00 	15 	1
4 	BWT 	BANGARAPET 	1 	18:28 	18:30 	2:00 	71 	1
5 	KPN 	KUPPAM 	1 	18:58 	19:00 	2:00 	105 	1
6 	TPT 	TIRUPATTUR JN 	1 	19:53 	19:55 	2:00 	156 	1
7 	SA 	SALEM JN 	1 	21:17 	21:20 	3:00 	269 	1
8 	ED 	ERODE JN 	1 	22:20 	22:25 	5:00 	331 	1
9 	TUP 	TIRUPPUR 	1 	23:08 	23:10 	2:00 	382 	1
10 	CBE 	COIMBATORE JN 	1 	00:05 	00:10 	5:00 	432 	2
11 	PGT 	PALAKKAD 	1 	01:50 	01:55 	5:00 	486 	2
12 	TCR 	THRISUR 	1 	03:02 	03:05 	3:00 	564 	2
13 	AWY 	ALUVA 	1 	04:13 	04:15 	2:00 	618 	2
14 	ERS 	ERNAKULAM JN 	1 	04:50 	04:55 	5:00 	638 	2
15 	SRTL 	SHERTALAI 	1 	05:24 	05:25 	1:00 	671 	2
16 	ALLP 	ALLEPPEY 	1 	05:47 	05:50 	3:00 	694 	2
17 	AMPA 	AMBALAPUZHA 	1 	06:01 	06:02 	1:00 	706 	2
18 	HAD 	HARIPPAD 	1 	06:19 	06:20 	1:00 	725 	2
19 	KYJ 	KAYANKULAM JN 	1 	06:41 	06:42 	1:00 	738 	2
20 	QLN 	KOLLAM JN 	1 	07:35 	07:40 	5:00 	779 	2
21 	KCVL 	KOCHUVELI 	1 	09:00 	Destination 		837 	2